"","Comparison..group1.group2.","Group","ProteinGroups","AVG.Log2.Ratio","Absolute.AVG.Log2.Ratio","Pvalue","Qvalue","X..of.Ratios","UniProtIds","Genes","ProteinDescriptions","ProteinNames","X..Unique.Total.Peptides","X..Change","Ratio","Condition.Numerator","Condition.Denominator","GO.Cellular.Component","GO.Molecular.Function","GO.Biological.Process","minuslogqval","Color"
"154","TP / DF","P01833","P01833",-3.602623892,3.602623892,2.98e-44,2.21e-42,434,"P01833","PIGR","Polymeric immunoglobulin receptor","PIGR_HUMAN",41,-91.76806097,0.08231939,"TP","DF","extracellular space,plasma membrane,integral component of plasma membrane,receptor complex,extracellular exosome","polymeric immunoglobulin receptor activity","detection of chemical stimulus involved in sensory perception of bitter taste,retina homeostasis,immunoglobulin transcytosis in epithelial cells mediated by polymeric immunoglobulin receptor,epidermal growth factor receptor signaling pathway,Fc receptor signaling pathway,receptor clustering",41.6556077263149,"Blue"
"155","HER2 / DF","P08238","P08238",2.410770599,2.410770599,6.4e-44,2.74e-42,1526,"P08238","HSP90AB1","Heat shock protein HSP 90-beta","HS90B_HUMAN",83,431.7582822,5.317582822,"HER2","DF","nucleoplasm,cytoplasm,mitochondrion,lysosomal membrane,cytosol,cell-cell adherens junction,cell surface,membrane,inclusion body,basolateral plasma membrane,apical plasma membrane,brush border membrane,melanosome,extracellular exosome,sperm head plasma membrane,ooplasm,COP9 signalosome","glycoprotein binding,UTP binding,CTP binding,double-stranded RNA binding,protein binding,ATP binding,GTP binding,drug binding,sulfonylurea receptor binding,protein kinase regulator activity,kinase binding,protein kinase binding,MHC class II protein complex binding,nitric-oxide synthase regulator activity,TPR domain binding,dATP binding,histone deacetylase binding,ion channel binding,poly(A) RNA binding,unfolded protein binding,cadherin binding involved in cell-cell adhesion","placenta development,protein folding,response to unfolded protein,response to salt stress,virion attachment to host cell,regulation of protein ubiquitination,positive regulation of protein binding,negative regulation of proteasomal ubiquitin-dependent protein catabolic process,positive regulation of phosphoprotein phosphatase activity,positive regulation of protein import into nucleus, translocation,cellular response to drug,Fc-gamma receptor signaling pathway involved in phagocytosis,response to cocaine,negative regulation of neuron apoptotic process,positive regulation of nitric oxide biosynthetic process,positive regulation of cell size,protein stabilization,regulation of interferon-gamma-mediated signaling pathway,regulation of type I interferon-mediated signaling pathway,cellular response to interleukin-4,cellular response to organic cyclic compound,positive regulation of protein serine/threonine kinase activity,fibril organization,cell-cell adhesion,regulation of cellular response to heat,negative regulation of complement-dependent cytotoxicity",41.5622494371796,"Red"
"156","TN / DF","O15230","O15230",-1.840917267,1.840917267,9.03e-44,3.12e-42,798,"O15230","LAMA5","Laminin subunit alpha-5","LAMA5_HUMAN",74,-72.08557522,0.279144248,"TN","DF","extracellular region,basement membrane,basal lamina,laminin-5 complex,extracellular space,nucleus,extracellular matrix,laminin-10 complex,laminin-11 complex,extracellular exosome","integrin binding,structural molecule activity","angiogenesis,branching involved in ureteric bud morphogenesis,morphogenesis of a polarized epithelium,neural crest cell migration,hair follicle development,cytoskeleton organization,integrin-mediated signaling pathway,muscle organ development,cell recognition,cell proliferation,embryo development,morphogenesis of embryonic epithelium,cell migration,cell differentiation,regulation of cell adhesion,extracellular matrix organization,lung development,regulation of cell migration,substrate adhesion-dependent cell spreading,regulation of cell proliferation,cilium assembly,odontogenesis of dentin-containing tooth,endothelial cell differentiation,regulation of embryonic development,focal adhesion assembly,branching involved in salivary gland morphogenesis,establishment of protein localization to plasma membrane",41.5058454059816,"Blue"
"157","Meta / DF","P02671","P02671",2.068329478,2.068329478,8.64e-44,3.55e-42,1008,"P02671","FGA","Fibrinogen alpha chain","FIBA_HUMAN",51,319.4007606,4.194007606,"Meta","DF","extracellular region,fibrinogen complex,extracellular space,plasma membrane,cell cortex,external side of plasma membrane,cell surface,platelet alpha granule,platelet alpha granule lumen,extracellular exosome,blood microparticle,extracellular vesicle","structural molecule activity,protein binding,protein binding, bridging,metal ion binding,receptor binding,cell adhesion molecule binding","adaptive immune response,platelet degranulation,protein complex assembly,cell-matrix adhesion,signal transduction,blood coagulation,extracellular matrix organization,plasminogen activation,positive regulation of heterotypic cell-cell adhesion,fibrinolysis,induction of bacterial agglutination,cellular protein complex assembly,cellular protein metabolic process,innate immune response,positive regulation of vasoconstriction,positive regulation of exocytosis,positive regulation of protein secretion,protein polymerization,response to calcium ion,positive regulation of ERK1 and ERK2 cascade,platelet aggregation,blood coagulation, common pathway,blood coagulation, fibrin clot formation,positive regulation of peptide hormone secretion,positive regulation of substrate adhesion-dependent cell spreading,negative regulation of extrinsic apoptotic signaling pathway via death domain receptors,negative regulation of endothelial cell apoptotic process",41.4497716469449,"Red"
"158","HER2 / DF","P14543","P14543",-1.716323354,1.716323354,1.1e-43,4.59e-42,546,"P14543","NID1","Nidogen-1","NID1_HUMAN",38,-69.56767115,0.304323289,"HER2","DF","extracellular region,basement membrane,basal lamina,extracellular matrix,extracellular exosome,cell periphery","calcium ion binding,collagen binding,laminin binding,laminin-1 binding,proteoglycan binding","cell-matrix adhesion,positive regulation of cell-substrate adhesion,extracellular matrix disassembly,extracellular matrix organization,glomerular basement membrane development,basement membrane organization",41.3381873144627,"Blue"
"159","Meta / DF","P02533","P02533",-1.809305069,1.809305069,1.18e-43,4.73e-42,896,"P02533","KRT14","Keratin, type I cytoskeletal 14","K1C14_HUMAN",49,-71.46716644,0.285328336,"Meta","DF","nucleus,cytoplasm,cytosol,intermediate filament,keratin filament,extracellular exosome,cell periphery","structural constituent of cytoskeleton,protein binding,keratin filament binding","aging,epidermis development,response to zinc ion,response to ionizing radiation,epithelial cell differentiation,hemidesmosome assembly,hair cycle,intermediate filament bundle assembly",41.3251388592622,"Blue"
"160","TN / DF","Q00610","Q00610",2.080478257,2.080478257,1.59e-43,5.37e-42,2408,"Q00610","CLTC","Clathrin heavy chain 1","CLH1_HUMAN",150,322.947401,4.22947401,"TN","DF","spindle,cytosol,plasma membrane,focal adhesion,membrane,clathrin coat,clathrin coat of trans-Golgi network vesicle,clathrin coat of coated pit,clathrin-coated vesicle,clathrin-coated endocytic vesicle membrane,extracellular matrix,trans-Golgi network membrane,endolysosome membrane,melanosome,intracellular membrane-bounded organelle,protein complex,extracellular exosome,clathrin complex,extracellular vesicle,mitotic spindle microtubule","double-stranded RNA binding,structural molecule activity,protein binding,protein kinase binding,clathrin light chain binding,poly(A) RNA binding","osteoblast differentiation,intracellular protein transport,receptor-mediated endocytosis,mitotic nuclear division,antigen processing and presentation of exogenous peptide antigen via MHC class II,receptor internalization,transferrin transport,retrograde transport, endosome to Golgi,Wnt signaling pathway, planar cell polarity pathway,regulation of mitotic spindle organization,negative regulation of hyaluronan biosynthetic process,negative regulation of protein localization to plasma membrane",41.2700257143004,"Red"
"161","TP / DF","Q14980","Q14980",1.987902454,1.987902454,2.45e-43,1.69e-41,1792,"Q14980","NUMA1","Nuclear mitotic apparatus protein 1","NUMA1_HUMAN",143,296.6598718,3.966598718,"TP","DF","Golgi membrane,spindle pole,nucleus,nucleoplasm,chromosome,cytoplasm,centrosome,spindle,cytosol,spindle microtubule,cell cortex,nuclear matrix,dendrite,neuronal cell body,apical part of cell,mitotic spindle astral microtubule,extracellular exosome,mitotic spindle,mitotic spindle pole","structural molecule activity,protein binding,microtubule binding","establishment of mitotic spindle orientation,nucleus organization,mitotic nuclear division,cell division,meiotic cell cycle,lung epithelial cell differentiation",40.7721132953863,"Red"
"162","TP / DF","Q99715","Q99715",1.408223428,1.408223428,2.39e-43,1.69e-41,1176,"Q99715","COL12A1","Collagen alpha-1(XII) chain","COCA1_HUMAN",92,165.4101287,2.654101287,"TP","DF","extracellular region,collagen type XII trimer,extracellular space,endoplasmic reticulum lumen,extracellular matrix,extracellular exosome,extracellular vesicle","extracellular matrix structural constituent conferring tensile strength","skeletal system development,cell adhesion,collagen fibril organization,collagen catabolic process,endodermal cell differentiation",40.7721132953863,"Red"
"163","Meta / DF","P26038","P26038",2.858966828,2.858966828,4.6e-43,1.81e-41,868,"P26038","MSN","Moesin","MOES_HUMAN",58,625.4955818,7.254955818,"Meta","DF","uropod,extracellular space,nucleus,cytoplasm,cytoskeleton,plasma membrane,microvillus,focal adhesion,basolateral plasma membrane,apical plasma membrane,extrinsic component of membrane,filopodium,pseudopodium,microvillus membrane,vesicle,myelin sheath,apical part of cell,perinuclear region of cytoplasm,extracellular exosome,cell periphery,blood microparticle","double-stranded RNA binding,actin binding,receptor binding,structural constituent of cytoskeleton,protein binding,protein kinase binding,cell adhesion molecule binding","movement of cell or subcellular component,cytoskeleton organization,leukocyte cell-cell adhesion,regulation of cell shape,regulation of cell size,positive regulation of gene expression,gland morphogenesis,membrane to membrane docking,establishment of epithelial cell apical/basal polarity,leukocyte migration,establishment of endothelial barrier,cellular response to testosterone stimulus,positive regulation of podosome assembly,regulation of organelle assembly,positive regulation of protein localization to early endosome,positive regulation of cellular protein catabolic process,regulation of lymphocyte migration,positive regulation of early endosome to late endosome transport",40.7423214251308,"Red"
"164","HER2 / DF","P05787","P05787",1.363775978,1.363775978,6.46e-43,2.62e-41,1344,"P05787","KRT8","Keratin, type II cytoskeletal 8","K2C8_HUMAN",58,157.3578838,2.573578838,"HER2","DF","nucleus,nucleoplasm,cytoplasm,intermediate filament,cell-cell junction,dystrophin-associated glycoprotein complex,nuclear matrix,Z disc,sarcolemma,costamere,keratin filament,extracellular exosome","structural molecule activity,protein binding,protein complex binding,scaffold protein binding","viral process,tumor necrosis factor-mediated signaling pathway,sarcomere organization,response to hydrostatic pressure,response to other organism,cell differentiation involved in embryonic placenta development,extrinsic apoptotic signaling pathway,hepatocyte apoptotic process",40.5816987086803,"Red"
"165","ERPR / DF","Q86VP6","Q86VP6",2.313389339,2.313389339,8.18e-43,3.76e-41,1078,"Q86VP6","CAND1","Cullin-associated NEDD8-dissociated protein 1","CAND1_HUMAN",80,397.0494331,4.970494331,"ERPR","DF","ubiquitin ligase complex,nucleus,nucleoplasm,cytoplasm,Golgi apparatus,membrane,cullin-RING ubiquitin ligase complex,extracellular exosome","protein binding,TBP-class protein binding","SCF complex assembly,protein ubiquitination,cell differentiation,negative regulation of catalytic activity,positive regulation of RNA polymerase II transcriptional preinitiation complex assembly",40.4248121550723,"Red"
